id|username|gender|age|height|occupation|zodiac|personality|lovelang|h1|h2|h3|h4|h5|h6|p_age|p_height|p_occupation|p_personality|p_lovelang
m021|V|Male|19|172|Student|Aries|Introvert|Quality Time|Running|Gaming|Movies/Documentaries|Coffee brewing|Vlogging|Photography|18-20|160 - 165|Student|Ambivert|Quality Time  
m022|Dom|Male|18|170|Student|Leo|Introvert|Physical Touch|Camping|Coding|Chess|Coffee brewing|Volunteering|Playing a musical instrument|18-20|160 - 165|Student|Extrovert|Quality Time  
m023|Reachboth|Male|23|173|Worker|Aquarius|Ambivert|Physical Touch|Gym & weightlifting|Video editing|Reading|Food photography|Traveling|Writing|20-22|170 - 175|Worker|Extrovert|Physical Touch
m024|Tak|Male|19|170|Student|Virgo|Introvert|Physical Touch|Gym & weightlifting|Coding|Movies/Documentaries|Cooking|Traveling|Graphic design|18-20|160 - 165|Student|Ambivert|Physical Touch  
m025|Jakya|Male|18|161|Student|Cancer|Introvert|Physical Touch|Running|Gaming|Movies/Documentaries|Cooking|Traveling|Singing|18-20|170 - 175|Student|Extrovert|Physical Touch  
m026|Skyking|Male|18|178|Student|Virgo|Introvert|Words of Affirmation|Gym & weightlifting|Coding|Reading|Cooking|Traveling|Photography|18-20|155 - 160|Student|Extrovert|Words of Affirmation  
m027|PozzSartPoipet|Male|19|170|Student|Aries|Extrovert|Physical Touch|Swimming|Gaming|Chess|Coffee brewing|Traveling|Singing|18-20|165 - 170|Student|Extrovert|Physical Touch  
m028|Julie|Male|20|165|Student|Cancer|Ambivert|Words of Affirmation|Camping|Video editing|Reading|Cooking|Traveling|Singing|20-22|170 - 175|Worker|Ambivert|Words of Affirmation  
m029|Bobbb|Male|19|175|Student|Aquarius|Ambivert|Physical Touch|Running|Video editing|Reading|Food photography|Volunteering|Graphic design|18-20|175 - 180|Student|Extrovert|Physical Touch  
m030|Lmao|Male|19|178|Student|Taurus|Ambivert|Gifting|Running|Coding|Reading|Coffee brewing|Volunteering|Singing|18-20|160 - 165|Student|Extrovert|Physical Touch  
m031|Austin Reeve|Male|20|173|Student|Aquarius|Extrovert|Words of Affirmation|Cycling|Coding|Reading|Cooking|Traveling|Playing a musical instrument|18-20|160 - 165|Student|Ambivert|Quality Time  
m032|Sengkea|Male|20|180|Student|Leo|Extrovert|Acts of Service|Cycling|Coding|Sudoku & puzzles|Coffee brewing|Vlogging|Graphic design|20-22|160 - 165|Student|Introvert|Physical Touch  
m033|Matcha|Male|22|170|Worker|Capricorn|Ambivert|Acts of Service|Cycling|Video editing|Movies/Documentaries|Cooking|Traveling|Singing|26-28|175 - 180|Worker|Ambivert|Acts of Service  
m034|Thomas|Male|19|160|Student|Aquarius|Ambivert|Words of Affirmation|Running|Robotics|Movies/Documentaries|Food photography|Volunteering|Singing|18-20|155 - 160|Student|Ambivert|Words of Affirmation  
m035|Mengzyyy|Male|19|170|Student|Virgo|Introvert|Quality Time|Fishing|Robotics|Chess|Coffee brewing|Traveling|Singing|18-20|160 - 165|Student|Extrovert|Quality Time  
m036|Norngmi|Male|18|172|Student|Sagittarius|Ambivert|Quality Time|Running|Gaming|Sudoku & puzzles|Cooking|Volunteering|Playing a musical instrument|18-20|170 - 175|Student|Ambivert|Quality Time  
m037|King|Male|19|165|Student|Aries|Introvert|Physical Touch|Cycling|Coding|Reading|Coffee brewing|Traveling|Singing|18-20|150 - 155|Student|Introvert|Physical Touch  
m038|Mallows|Male|21|169|Student|Taurus|Ambivert|Quality Time|Camping|Video editing|Reading|Food photography|Traveling|Writing (stories, poems, blogs)|22-24|165 - 170|Student|Ambivert|Quality Time  
m039|Potato|Male|29|172|Worker|Scorpio|Ambivert|Acts of Service|Gym & weightlifting|Gaming|Reading|Cooking|Traveling|Singing|22-24|160 - 165|Worker|Ambivert|Acts of Service  
m040|Nirmo|Male|18|165|Student|Pisces|Extrovert|Physical Touch|Fishing|Coding|Reading|Coffee brewing|Traveling|Playing a musical instrument|18-20|155 - 160|Student|Extrovert|Physical Touch
m041|Jimmy|Male|21|168|Student|Gemini|Extrovert|Physical Touch|Cycling|Video editing|Sudoku & puzzles|Cooking|Traveling|Playing a musical instrument|18-20|150 - 155|Student|Ambivert|Physical Touch
m042|R1ng0|Male|21|178|Student|Capricorn|Introvert|Acts of Service|Gym & weightlifting|Coding|Movies/Documentaries|Coffee brewing|Vlogging|Graphic design|20-22|160 - 165|Student|Ambivert|Acts of Service
m043|Rio|Male|20|180|Student|Taurus|Ambivert|Words of Affirmation|Swimming|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Dancing|18-20|175 - 180|Student|Ambivert|Words of Affirmation
m044|Nava Kisiki|Male|18|168|Student|Sagittarius|Ambivert|Quality Time|Camping|Video editing|Movies/Documentaries|Cooking|Volunteering|Graphic design|18-20|160 - 165|Student|Ambivert|Quality Time
m045|Zio|Male|18|180|Student|Cancer|Extrovert|Physical Touch|Swimming|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Singing|18-20|155 - 160|Student|Ambivert|Physical Touch
m046|DANY|Male|19|165|Student|Sagittarius|Ambivert|Quality Time|Running|Coding|Movies/Documentaries|Coffee brewing|Volunteering|Singing|18-20|160 - 165|Student|Introvert|Quality Time
m047|Viktor|Male|20|180|Student|Scorpio|Introvert|Acts of Service|Gym & weightlifting|Gaming|Reading|Food photography|Volunteering|Writing|28-30|170 - 175|Student|Introvert|Physical Touch
m048|Man Arafat|Male|20|165|Student|Sagittarius|Introvert|Physical Touch|Gym & weightlifting|Coding|Movies/Documentaries|Coffee brewing|Volunteering|Dancing|18-20|155 - 160|Student|Extrovert|Physical Touch
m049|Y2K|Male|19|178|Student|Pisces|Extrovert|Physical Touch|Camping|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Singing|18-20|165 - 170|Student|Ambivert|Physical Touch
m050|Tong Vorak|Male|19|169|Student|Pisces|Extrovert|Physical Touch|Fishing|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Dancing|18-20|165 - 170|Student|Extrovert|Physical Touch
m051|Mony Meakputsoktheara|Male|19|175|Student|Leo|Introvert|Physical Touch|Gym & weightlifting|Gaming|Movies/Documentaries|Cooking|Vlogging|Dancing|18-20|170 - 175|Student|Introvert|Physical Touch
m052|K’Mern|Male|19|178|Student|Leo|Ambivert|Acts of Service|Cycling|Gaming|Movies/Documentaries|Food photography|Volunteering|Photography|18-20|160 - 165|Student|Ambivert|Quality Time
m053|Qwaszx|Male|18|165|Student|Cancer|Ambivert|Words of Affirmation|Gym & weightlifting|Video editing|Sudoku & puzzles|Cooking|Traveling|Photography|18-20|165 - 170|Student|Ambivert|Words of Affirmation
m054|Kaizen|Male|19|172|Student|Scorpio|Ambivert|Words of Affirmation|Running|Gaming|Reading|Coffee brewing|Vlogging|Writing|18-20|165 - 170|Student|Introvert|Words of Affirmation
m055|Daniel|Male|18|171|Student|Virgo|Extrovert|Physical Touch|Running|Gaming|Reading|Cooking|Traveling|Singing|18-20|160 - 165|Student|Ambivert|Words of Affirmation
m056|Lyly|Male|20|150|Student|Sagittarius|Ambivert|Gifting|Gym & weightlifting|UI/UX design|Movies/Documentaries|Food photography|Volunteering|Photography|18-20|150 - 155|Student|Ambivert|Gifting
m057|Dara|Male|25|175|Worker|Taurus|Extrovert|Words of Affirmation|Running|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Writing|22-24|165 - 170|Worker|Extrovert|Words of Affirmation
m058|Ma Noah|Male|23|175|Worker|Virgo|Introvert|Physical Touch|Gym & weightlifting|Coding|Movies/Documentaries|Cooking|Traveling|Photography|18-20|165 - 170|Student|Ambivert|Quality Time
m059|Rika|Male|22|170|Worker|Leo|Ambivert|Quality Time|Gym & weightlifting|UI/UX design|Reading|Cooking|Traveling|Painting|20-22|155 - 160|Worker|Extrovert|Quality Time
m060|Fa ke|Male|19|173|Student|Aries|Introvert|Physical Touch|Running|Coding|Movies/Documentaries|Coffee brewing|Traveling|Singing|18-20|160 - 165|Student|Introvert|Physical Touch
m061|JohnnySin|Male|19|168|Worker|Aquarius|Ambivert|Quality Time|Gym & weightlifting|Gaming|Chess|Cooking|Volunteering|Painting|18-20|below 150|Student|Introvert|Quality Time
m062|Khaing|Male|21|170|Student|Sagittarius|Ambivert|Physical Touch|Swimming|Gaming|Movies/Documentaries|Food photography|Vlogging|Dancing|22-24|180 - 185|Worker|Introvert|Physical Touch
m063|Xing|Male|19|165|Student|Leo|Ambivert|Acts of Service|Running|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Dancing|18-20|160 - 165|Student|Ambivert|Acts of Service
m064|Shi|Male|19|174|Student|Pisces|Ambivert|Quality Time|Swimming|Gaming|Reading|Cooking|Volunteering|Singing|20-22|170 - 175|Worker|Introvert|Gifting
m065|Sok Rothy|Male|19|180|Student|Libra|Extrovert|Quality Time|Gym & weightlifting|Video editing|Reading|Cooking|Traveling|Graphic design|18-20|175 - 180|Student|Extrovert|Quality Time
m066|Deth|Male|24|175|Worker|Pisces|Ambivert|Physical Touch|Gym & weightlifting|Gaming|Movies/Documentaries|Cooking|Traveling|Singing|24-26|175 - 180|Worker|Ambivert|Physical Touch
m067|Pheak|Male|20|170|Worker|Leo|Introvert|Physical Touch|Fishing|UI/UX design|Reading|Coffee brewing|Traveling|Photography|18-20|160 - 165|Student|Ambivert|Physical Touch
m068|Khmeng Touch Gen 08|Male|23|172|Student|Capricorn|Ambivert|Physical Touch|Cycling|Video editing|Movies/Documentaries|Food photography|Traveling|Photography|18-20|165 - 170|Student|Introvert|Physical Touch
m069|Not hiterboy|Male|20|170|Student|Scorpio|Introvert|Acts of Service|Gym & weightlifting|Gaming|Movies/Documentaries|Cooking|Traveling|Writing (stories, poems, blogs)|18-20|160 - 165|Student|Ambivert|Quality Time
m070|Shan|Male|24|175|Student|Libra|Introvert|Physical Touch|Camping|Gaming|Movies/Documentaries|Cooking|Vlogging|Photography|22-24|160 - 165|Student|Extrovert|Quality Time
m071|Vathanakkk|Male|22|173|Student|Gemini|Introvert|Acts of Service|Gym & weightlifting|Gaming|Sudoku & puzzles|Food photography|Volunteering|Photography|18-20|150 - 155|Student|Extrovert|Physical Touch
m072|Panha|Male|22|168|Student|Aries|Ambivert|Physical Touch|Camping|Coding|Movies/Documentaries|Food photography|Volunteering|Graphic design|18-20|150 - 155|Student|Extrovert|Physical Touch
m073|Lil Panny|Male|19|175|Student|Libra|Ambivert|Quality Time|Gym & weightlifting|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Singing|18-20|160 - 165|Student|Ambivert|Quality Time
m074|Sum Tae|Male|21|185|Student|Taurus|Introvert|Acts of Service|Running|Gaming|Movies/Documentaries|Food photography|Traveling|Painting|20-22|175 - 180|Student|Extrovert|Acts of Service
m075|Chea|Male|18|177|Student|Scorpio|Introvert|Physical Touch|Swimming|Gaming|Chess|Coffee brewing|Volunteering|Painting|18-20|165 - 170|Student|Extrovert|Physical Touch
m076|LOL|Male|19|168|Student|Capricorn|Ambivert|Quality Time|Running|Gaming|Reading|Coffee brewing|Traveling|Photography|18-20|155 - 160|Student|Ambivert|Acts of Service
m077|Kdam|Male|22|168|Student|Virgo|Ambivert|Physical Touch|Running|Robotics|Movies/Documentaries|Coffee brewing|Traveling|Photography|22-24|165 - 170|Student|Ambivert|Physical Touch
m078|Hehe|Male|21|175|Student|Gemini|Ambivert|Physical Touch|Gym & weightlifting|Coding|Movies/Documentaries|Cooking|Volunteering|Photography|20-22|170 - 175|Student|Ambivert|Physical Touch
m079|Lone Wolf|Male|21|180|Student|Capricorn|Ambivert|Physical Touch|Running|Gaming|Reading|Coffee brewing|Volunteering|Singing|20-22|175 - 180|Student|Ambivert|Physical Touch
m080|Jahad|Male|21|168|Student|Scorpio|Ambivert|Quality Time|Cycling|Gaming|Reading|Cooking|Traveling|Playing a musical instrument|18-20|160 - 165|Student|Ambivert|Quality Time
m081|SK|Male|22|175|Worker|Capricorn|Ambivert|Physical Touch|Swimming|Coding|Movies/Documentaries|Food photography|Traveling|Singing|22-24|175 - 180|Worker|Ambivert|Physical Touch
m082|Alien|Male|21|173|Student|Taurus|Introvert|Physical Touch|Camping|Coding|Reading|Cooking|Traveling|Painting|20-22|170 - 175|Worker|Introvert|Physical Touch
m083|Narak RK|Male|20|165|Worker|Aquarius|Ambivert|Physical Touch|Camping|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Writing|18-20|160 - 165|Student|Ambivert|Physical Touch
m084|Name|Male|19|175|Student|Libra|Ambivert|Physical Touch|Camping|Coding|Movies/Documentaries|Coffee brewing|Traveling|Playing a musical instrument|18-20|155 - 160|Student|Extrovert|Physical Touch
m085|Ego|Male|21|173|Student|Aquarius|Ambivert|Words of Affirmation|Gym & weightlifting|Gaming|Chess|Coffee brewing|Traveling|Singing|20-22|165 - 170|Student|Ambivert|Acts of Service
m086|laokong|Male|21|175|Student|Capricorn|Introvert|Physical Touch|Swimming|Gaming|Movies/Documentaries|Coffee brewing|Volunteering|Photography|20-22|160 - 165|Worker|Extrovert|Physical Touch
m087|Fake|Male|21|170|Student|Leo|Extrovert|Physical Touch|Cycling|UI/UX design|Movies/Documentaries|Coffee brewing|Traveling|Playing a musical instrument|18-20|155 - 160|Student|Extrovert|Physical Touch
m088|Umm|Male|18|162|Student|Taurus|Ambivert|Quality Time|Swimming|Gaming|Movies/Documentaries|Cooking|Traveling|Graphic design|18-20|165 - 170|Student|Ambivert|Quality Time
m089|Sivgech|Male|18|156|Worker|Sagittarius|Extrovert|Words of Affirmation|Running|Coding|Reading|Cooking|Traveling|Graphic design|18-20|155 - 160|Student|Extrovert|Words of Affirmation
m090|Little Boy|Male|19|170|Student|Cancer|Extrovert|Physical Touch|Camping|Gaming|Chess|Coffee brewing|Vlogging|Playing a musical instrument|18-20|170 - 175|Student|Extrovert|Physical Touch
m091|Jupapi munhanho|Male|23|185|Worker|Sagittarius|Ambivert|Physical Touch|Gym & weightlifting|Gaming|Reading|Cooking|Traveling|Singing|22-24|160 - 165|Worker|Ambivert|Acts of Service
m092|John Doe|Male|19|167|Student|Cancer|Ambivert|Quality Time|Cycling|Gaming|Movies|Cooking|Volunteering|Playing a musical instrument|18-20|160 - 165|Student|Ambivert|Quality Time
m093|Tiān Chhoeng|Male|22|170|Worker|Aries|Ambivert|Quality Time|Gym & weightlifting|Gaming|Movies|Cooking|Traveling|Dancing|22-24|175 - 180|Worker|Ambivert|Physical Touch
m094|Victor|Male|26|175|Worker|Capricorn|Introvert|Physical Touch|Running|Gaming|Movies|Cooking|Traveling|Painting|26-28|175 - 180|Student|Introvert|Physical Touch
m095|Baby|Male|22|173|Worker|Sagittarius|Ambivert|Physical Touch|Running|Gaming|Movies|Food photography|Traveling|Dancing|28-30|175 - 180|Worker|Extrovert|Acts of Service
m096|You Songthav|Male|19|168|Student|Aries|Ambivert|Physical Touch|Gym & weightlifting|Gaming|Sudoku|Coffee brewing|Traveling|Graphic design|18-20|165 - 170|Student|Ambivert|Physical Touch
m097|Ping|Male|19|170|Student|Libra|Ambivert|Words of Affirmation|Running|Video editing|Reading|Cooking|Traveling|Dancing|24-26|175 - 180|Worker|Introvert|Physical Touch
m098|Claude|Male|19|173|Student|Virgo|Ambivert|Words of Affirmation|Swimming|Gaming|Movies|Coffee brewing|Volunteering|Painting|18-20|160 - 165|Student|Ambivert|Physical Touch
m099|Jake|Male|19|173|Student|Cancer|Extrovert|Physical Touch|Swimming|Gaming|Movies|Cooking|Traveling|Writing|20-22|165 - 170|Worker|Extrovert|Physical Touch
m100|.|Male|20|173|Student|Aries|Introvert|Physical Touch|Gym & weightlifting|Gaming|Reading|Cooking|Traveling|Photography|18-20|160 - 165|Student|Introvert|Words of Affirmation
m101|Reaksa|Male|22|170|Worker|Aries|Ambivert|Acts of Service|Running|UI/UX design|Movies|Cooking|Volunteering|Singing|22-24|170 - 175|Worker|Ambivert|Words of Affirmation
m102|O|Male|23|168|Student|Libra|Introvert|Acts of Service|Gym & weightlifting|Video editing|Reading|Food photography|Traveling|Photography|24-26|175 - 180|Worker|Introvert|Acts of Service
m103|fake name|Male|20|165|Student|Cancer|Introvert|Physical Touch|Camping|Coding|Sudoku|Coffee brewing|Traveling|Photography|18-20|155 - 160|Student|Introvert|Words of Affirmation
m104|Kiz|Male|18|178|Worker|Cancer|Introvert|Acts of Service|Gym & weightlifting|Video editing|Sudoku|Coffee brewing|Vlogging|Dancing|22-24|170 - 175|Worker|Ambivert|Acts of Service
m105|No name|Male|21|170|Student|Cancer|Ambivert|Quality Time|Running|Gaming|Movies|Coffee brewing|Traveling|Singing|18-20|160 - 165|Student|Extrovert|Quality Time
m106|Erix|Male|21|165|Worker|Virgo|Ambivert|Acts of Service|Gym & weightlifting|Video editing|Reading|Coffee brewing|Traveling|Painting|22-24|150 - 155|Worker|Extrovert|Physical Touch
m107|J|Male|22|177|Worker|Aquarius|Ambivert|Physical Touch|Cycling|Video editing|Sudoku|Food photography|Traveling|Dancing|24-26|160 - 165|Worker|Ambivert|Physical Touch
m108|Ok|Male|18|170|Student|Virgo|Ambivert|Acts of Service|Cycling|Gaming|Movies/Documentaries|Cooking|Traveling|Painting|18-20|160 - 165|Student|Ambivert|Physical Touch
m109|Yong Bin|Male|20|170|Student|Gemini|Introvert|Quality Time|Running|Gaming|Movies/Documentaries|Cooking|Volunteering|Dancing|18-20|165 - 170|Student|Ambivert|Acts of Service
m110|Teddii|Male|23|166|Worker|Cancer|Extrovert|Words of Affirmation|Cycling|Video editing|Movies/Documentaries|Food photography|Volunteering|Singing|22-24|165 - 170|Worker|Ambivert|Physical Touch
m111|Asahi|Male|23|165|Worker|Scorpio|Introvert|Words of Affirmation|Running|Coding|Reading|Cooking|Traveling|Singing|22-24|160 - 165|Worker|Ambivert|Words of Affirmation
m112|Choi Soobin|Male|23|182|Worker|Sagittarius|Introvert|Quality Time|Gym & weightlifting|Video editing|Sudoku & puzzles|Food photography|Traveling|Photography|20-22|160 - 165|Worker|Ambivert|Quality Time
m113|Pheap Chanbora|Male|19|165|Student|Aquarius|Extrovert|Physical Touch|Swimming|Gaming|Movies/Documentaries|Food photography|Vlogging|Singing|18-20|160 - 165|Student|Introvert|Physical Touch
m114|Thet Makara|Male|20|163|Student|Pisces|Ambivert|Quality Time|Running|Gaming|Chess|Coffee brewing|Volunteering|Singing|18-20|160 - 165|Student|Introvert|Physical Touch
m115|Won|Male|22|168|Worker|Sagittarius|Ambivert|Physical Touch|Gym & weightlifting|Coding|Movies/Documentaries|Cooking|Traveling|Painting|18-20|160 - 165|Worker|Extrovert|Quality Time
m116|Fake Name|Male|21|178|Student|Gemini|Extrovert|Quality Time|Gym & weightlifting|oding|Movies/Documentaries|Cooking|Traveling|Singing|20-22|165 - 170|Student|Extrovert|Physical Touch
m117|Rick|Male|18|177|Student|Capricorn|Act of Service|Swimming|Gaming|Movies/Documentaries||Coffee brewing|Traveling|Singing|20-23|175 - 180|Worker|Introvert|Acts of Service
